name,label
Carrier Global Corporation,"{""Physical_Impacts_Of_Climate_Change"": 3, ""Employee_Engagement_Inclusion_And_Diversity"": 8, ""Management_Of_Legal_And_Regulatory_Framework"": 93, ""GHG_Emissions"": 3, ""Energy_Management"": 12, ""Supply_Chain_Management"": 11, ""Air_Quality"": 5, ""Business_Model_Resilience"": 10, ""Employee_Health_And_Safety"": 10, ""Waste_And_Hazardous_Materials_Management"": 4, ""Critical_Incident_Risk_Management"": 3, ""Data_Security"": 2, ""Product_Design_And_Lifecycle_Management"": 26, ""Product_Quality_And_Safety"": 2, ""Systemic_Risk_Management"": 79, ""Labor_Practices"": 4, ""Competitive_Behavior"": 25, ""Business_Ethics"": 11, ""Customer_Welfare"": 1, ""Water_And_Wastewater_Management"": 1, ""Director_Removal"": 1, ""Human_Rights_And_Community_Relations"": 1}"
"Waste Management, Inc.","{""Management_Of_Legal_And_Regulatory_Framework"": 159, ""Business_Model_Resilience"": 25, ""Employee_Health_And_Safety"": 8, ""Employee_Engagement_Inclusion_And_Diversity"": 11, ""Customer_Welfare"": 1, ""Waste_And_Hazardous_Materials_Management"": 139, ""Product_Design_And_Lifecycle_Management"": 13, ""Systemic_Risk_Management"": 78, ""Competitive_Behavior"": 21, ""Customer_Privacy"": 1, ""Energy_Management"": 7, ""Water_And_Wastewater_Management"": 3, ""Human_Rights_And_Community_Relations"": 1, ""Critical_Incident_Risk_Management"": 4, ""Air_Quality"": 5, ""GHG_Emissions"": 2, ""Product_Quality_And_Safety"": 1, ""Director_Removal"": 7, ""Supply_Chain_Management"": 2, ""Data_Security"": 6, ""Labor_Practices"": 15, ""Business_Ethics"": 15}"
General Motors Company,"{""Management_Of_Legal_And_Regulatory_Framework"": 94, ""Access_And_Affordability"": 1, ""Supply_Chain_Management"": 4, ""Business_Model_Resilience"": 14, ""Employee_Engagement_Inclusion_And_Diversity"": 5, ""Customer_Welfare"": 17, ""Employee_Health_And_Safety"": 4, ""Systemic_Risk_Management"": 34, ""Director_Removal"": 6, ""Business_Ethics"": 17, ""Product_Design_And_Lifecycle_Management"": 17, ""Competitive_Behavior"": 19, ""Energy_Management"": 14, ""Labor_Practices"": 14, ""Selling_Practices_And_Product_Labeling"": 3, ""Data_Security"": 4, ""Product_Quality_And_Safety"": 4, ""Physical_Impacts_Of_Climate_Change"": 2}"
"Catalent, Inc.","{""Management_Of_Legal_And_Regulatory_Framework"": 193, ""Systemic_Risk_Management"": 101, ""Competitive_Behavior"": 59, ""Data_Security"": 5, ""Product_Design_And_Lifecycle_Management"": 52, ""Customer_Welfare"": 37, ""Product_Quality_And_Safety"": 13, ""Business_Model_Resilience"": 7, ""Supply_Chain_Management"": 20, ""Waste_And_Hazardous_Materials_Management"": 3, ""Labor_Practices"": 7, ""Employee_Engagement_Inclusion_And_Diversity"": 17, ""Employee_Health_And_Safety"": 4, ""Human_Rights_And_Community_Relations"": 1, ""Director_Removal"": 5, ""Access_And_Affordability"": 2, ""Selling_Practices_And_Product_Labeling"": 7, ""Business_Ethics"": 12, ""Physical_Impacts_Of_Climate_Change"": 1, ""Energy_Management"": 1}"
Caterpillar Inc.,"{""Product_Design_And_Lifecycle_Management"": 67, ""Supply_Chain_Management"": 10, ""Energy_Management"": 7, ""Management_Of_Legal_And_Regulatory_Framework"": 157, ""Employee_Engagement_Inclusion_And_Diversity"": 8, ""Business_Model_Resilience"": 14, ""Air_Quality"": 3, ""Employee_Health_And_Safety"": 5, ""Business_Ethics"": 26, ""Systemic_Risk_Management"": 102, ""Director_Removal"": 3, ""Competitive_Behavior"": 46, ""Product_Quality_And_Safety"": 2, ""Customer_Privacy"": 2, ""Data_Security"": 4, ""Labor_Practices"": 9, ""Waste_And_Hazardous_Materials_Management"": 1, ""Access_And_Affordability"": 2, ""Ecological_Impacts"": 1, ""Critical_Incident_Risk_Management"": 1}"
"Cboe Global Markets, Inc.","{""Systemic_Risk_Management"": 158, ""Business_Model_Resilience"": 28, ""Competitive_Behavior"": 104, ""Supply_Chain_Management"": 2, ""Management_Of_Legal_And_Regulatory_Framework"": 326, ""Business_Ethics"": 23, ""Critical_Incident_Risk_Management"": 6, ""Customer_Privacy"": 2, ""Data_Security"": 21, ""Employee_Engagement_Inclusion_And_Diversity"": 18, ""Director_Removal"": 12, ""Access_And_Affordability"": 3, ""Employee_Health_And_Safety"": 1, ""Labor_Practices"": 6, ""Human_Rights_And_Community_Relations"": 2, ""Product_Design_And_Lifecycle_Management"": 6}"
"Cbre Group, Inc.","{""Management_Of_Legal_And_Regulatory_Framework"": 284, ""Business_Ethics"": 26, ""Systemic_Risk_Management"": 109, ""Director_Removal"": 7, ""Business_Model_Resilience"": 38, ""Competitive_Behavior"": 50, ""Energy_Management"": 4, ""Product_Design_And_Lifecycle_Management"": 1, ""Labor_Practices"": 16, ""Employee_Engagement_Inclusion_And_Diversity"": 11, ""Employee_Health_And_Safety"": 8, ""Human_Rights_And_Community_Relations"": 2, ""Waste_And_Hazardous_Materials_Management"": 4, ""Data_Security"": 13, ""Supply_Chain_Management"": 2, ""Customer_Privacy"": 9, ""Physical_Impacts_Of_Climate_Change"": 3, ""Critical_Incident_Risk_Management"": 8, ""Ecological_Impacts"": 2}"
Cdw Corporation,"{""Product_Design_And_Lifecycle_Management"": 37, ""Business_Model_Resilience"": 29, ""Systemic_Risk_Management"": 62, ""Employee_Engagement_Inclusion_And_Diversity"": 6, ""Human_Rights_And_Community_Relations"": 1, ""Director_Removal"": 4, ""Management_Of_Legal_And_Regulatory_Framework"": 119, ""Data_Security"": 18, ""Competitive_Behavior"": 43, ""Labor_Practices"": 2, ""Employee_Health_And_Safety"": 3, ""Supply_Chain_Management"": 6, ""Business_Ethics"": 13, ""Customer_Welfare"": 1, ""Energy_Management"": 1}"
Celanese Corporation,"{""Business_Model_Resilience"": 10, ""Competitive_Behavior"": 35, ""Supply_Chain_Management"": 13, ""Product_Design_And_Lifecycle_Management"": 62, ""Employee_Engagement_Inclusion_And_Diversity"": 6, ""Management_Of_Legal_And_Regulatory_Framework"": 175, ""Business_Ethics"": 15, ""Systemic_Risk_Management"": 80, ""Customer_Welfare"": 7, ""Data_Security"": 4, ""Physical_Impacts_Of_Climate_Change"": 5, ""Energy_Management"": 2, ""GHG_Emissions"": 4, ""Employee_Health_And_Safety"": 5, ""Product_Quality_And_Safety"": 4, ""Selling_Practices_And_Product_Labeling"": 1, ""Labor_Practices"": 6, ""Director_Removal"": 4, ""Waste_And_Hazardous_Materials_Management"": 8, ""Ecological_Impacts"": 4}"
"Cencora, Inc.","{""Supply_Chain_Management"": 2, ""Critical_Incident_Risk_Management"": 1, ""Employee_Engagement_Inclusion_And_Diversity"": 2, ""Customer_Welfare"": 4, ""Business_Model_Resilience"": 5, ""Access_And_Affordability"": 1, ""Product_Design_And_Lifecycle_Management"": 1, ""Director_Removal"": 1, ""Physical_Impacts_Of_Climate_Change"": 1, ""Systemic_Risk_Management"": 4, ""Management_Of_Legal_And_Regulatory_Framework"": 5, ""Business_Ethics"": 3, ""Competitive_Behavior"": 2}"
Centene Corporation,"{""Employee_Health_And_Safety"": 12, ""Access_And_Affordability"": 17, ""Management_Of_Legal_And_Regulatory_Framework"": 78, ""Business_Model_Resilience"": 18, ""Director_Removal"": 55, ""Employee_Engagement_Inclusion_And_Diversity"": 38, ""Critical_Incident_Risk_Management"": 2, ""Customer_Privacy"": 3, ""Human_Rights_And_Community_Relations"": 5, ""Energy_Management"": 1, ""Business_Ethics"": 29, ""Labor_Practices"": 61, ""Competitive_Behavior"": 21, ""Data_Security"": 6, ""Systemic_Risk_Management"": 20, ""Physical_Impacts_Of_Climate_Change"": 3, ""GHG_Emissions"": 2, ""Product_Quality_And_Safety"": 1}"
"Centerpoint Energy, Inc.","{""Business_Model_Resilience"": 25, ""Energy_Management"": 80, ""Critical_Incident_Risk_Management"": 5, ""GHG_Emissions"": 51, ""Management_Of_Legal_And_Regulatory_Framework"": 334, ""Systemic_Risk_Management"": 160, ""Access_And_Affordability"": 2, ""Employee_Health_And_Safety"": 5, ""Physical_Impacts_Of_Climate_Change"": 24, ""Supply_Chain_Management"": 14, ""Business_Ethics"": 14, ""Competitive_Behavior"": 27, ""Air_Quality"": 6, ""Product_Quality_And_Safety"": 1, ""Ecological_Impacts"": 2, ""Water_And_Wastewater_Management"": 6, ""Waste_And_Hazardous_Materials_Management"": 7, ""Labor_Practices"": 10, ""Employee_Engagement_Inclusion_And_Diversity"": 4, ""Director_Removal"": 6, ""Data_Security"": 9, ""Customer_Privacy"": 2, ""Customer_Welfare"": 1, ""Product_Design_And_Lifecycle_Management"": 1}"
"Charles River Laboratories International, Inc.","{""Management_Of_Legal_And_Regulatory_Framework"": 110, ""Business_Model_Resilience"": 14, ""Business_Ethics"": 5, ""Systemic_Risk_Management"": 41, ""Product_Design_And_Lifecycle_Management"": 100, ""Competitive_Behavior"": 42, ""Product_Quality_And_Safety"": 6, ""Customer_Welfare"": 3, ""Supply_Chain_Management"": 8, ""Labor_Practices"": 6, ""Critical_Incident_Risk_Management"": 4, ""Employee_Health_And_Safety"": 7, ""Data_Security"": 6, ""Customer_Privacy"": 4, ""Human_Rights_And_Community_Relations"": 1, ""Director_Removal"": 2, ""Physical_Impacts_Of_Climate_Change"": 2, ""Selling_Practices_And_Product_Labeling"": 1}"
Charter Comm Inc Del Cl a,"{""Data_Security"": 24, ""Energy_Management"": 20, ""Business_Model_Resilience"": 17, ""Product_Design_And_Lifecycle_Management"": 13, ""Human_Rights_And_Community_Relations"": 1, ""Access_And_Affordability"": 11, ""Management_Of_Legal_And_Regulatory_Framework"": 235, ""Business_Ethics"": 8, ""Systemic_Risk_Management"": 54, ""Competitive_Behavior"": 57, ""Customer_Privacy"": 4, ""Customer_Welfare"": 4, ""Employee_Engagement_Inclusion_And_Diversity"": 8, ""Labor_Practices"": 11, ""Supply_Chain_Management"": 1, ""Critical_Incident_Risk_Management"": 2, ""Director_Removal"": 8, ""Employee_Health_And_Safety"": 2, ""Selling_Practices_And_Product_Labeling"": 1, ""Waste_And_Hazardous_Materials_Management"": 1}"
Chevron Corporation,"{""Energy_Management"": 7, ""Business_Model_Resilience"": 33, ""Systemic_Risk_Management"": 94, ""GHG_Emissions"": 41, ""Product_Design_And_Lifecycle_Management"": 8, ""Management_Of_Legal_And_Regulatory_Framework"": 129, ""Data_Security"": 1, ""Director_Removal"": 3, ""Physical_Impacts_Of_Climate_Change"": 7, ""Business_Ethics"": 8, ""Critical_Incident_Risk_Management"": 1, ""Employee_Engagement_Inclusion_And_Diversity"": 2, ""Employee_Health_And_Safety"": 3, ""Supply_Chain_Management"": 4, ""Ecological_Impacts"": 14, ""Competitive_Behavior"": 24, ""Waste_And_Hazardous_Materials_Management"": 4, ""Labor_Practices"": 3, ""Human_Rights_And_Community_Relations"": 1}"
"Chipotle Mexican Grill, Inc.","{""Management_Of_Legal_And_Regulatory_Framework"": 124, ""Director_Removal"": 5, ""Systemic_Risk_Management"": 38, ""Business_Ethics"": 25, ""Labor_Practices"": 40, ""Product_Quality_And_Safety"": 11, ""Customer_Welfare"": 13, ""Employee_Engagement_Inclusion_And_Diversity"": 13, ""Ecological_Impacts"": 1, ""Selling_Practices_And_Product_Labeling"": 9, ""Access_And_Affordability"": 1, ""Customer_Privacy"": 6, ""Competitive_Behavior"": 21, ""Data_Security"": 12, ""Critical_Incident_Risk_Management"": 5, ""Supply_Chain_Management"": 2, ""Business_Model_Resilience"": 9, ""GHG_Emissions"": 1, ""Physical_Impacts_Of_Climate_Change"": 3, ""Energy_Management"": 1, ""Product_Design_And_Lifecycle_Management"": 1, ""Employee_Health_And_Safety"": 5}"
Dow Inc.,"{""Business_Model_Resilience"": 25, ""Management_Of_Legal_And_Regulatory_Framework"": 247, ""Systemic_Risk_Management"": 76, ""Director_Removal"": 56, ""Labor_Practices"": 56, ""Competitive_Behavior"": 81, ""Supply_Chain_Management"": 1, ""Ecological_Impacts"": 3, ""Employee_Engagement_Inclusion_And_Diversity"": 21, ""Access_And_Affordability"": 1, ""Business_Ethics"": 28, ""Employee_Health_And_Safety"": 7, ""Physical_Impacts_Of_Climate_Change"": 4, ""Customer_Welfare"": 2, ""Energy_Management"": 2, ""Customer_Privacy"": 3, ""Water_And_Wastewater_Management"": 1, ""Waste_And_Hazardous_Materials_Management"": 2, ""Critical_Incident_Risk_Management"": 3, ""Human_Rights_And_Community_Relations"": 1, ""Product_Design_And_Lifecycle_Management"": 3, ""Data_Security"": 6}"
"Church & Dwight Co., Inc.","{""Systemic_Risk_Management"": 68, ""Product_Design_And_Lifecycle_Management"": 81, ""Customer_Welfare"": 12, ""Director_Removal"": 7, ""Competitive_Behavior"": 42, ""Business_Model_Resilience"": 18, ""Management_Of_Legal_And_Regulatory_Framework"": 116, ""GHG_Emissions"": 1, ""Employee_Engagement_Inclusion_And_Diversity"": 9, ""Business_Ethics"": 17, ""Selling_Practices_And_Product_Labeling"": 17, ""Waste_And_Hazardous_Materials_Management"": 2, ""Employee_Health_And_Safety"": 5, ""Product_Quality_And_Safety"": 17, ""Supply_Chain_Management"": 11, ""Access_And_Affordability"": 1, ""Physical_Impacts_Of_Climate_Change"": 2, ""Customer_Privacy"": 4, ""Data_Security"": 8, ""Labor_Practices"": 8, ""Energy_Management"": 1}"
Cincinnati Financial Corp,"{""Competitive_Behavior"": 6, ""Systemic_Risk_Management"": 12, ""Business_Model_Resilience"": 4, ""Employee_Engagement_Inclusion_And_Diversity"": 3, ""Management_Of_Legal_And_Regulatory_Framework"": 9, ""Product_Design_And_Lifecycle_Management"": 6, ""GHG_Emissions"": 1, ""Customer_Privacy"": 4, ""Business_Ethics"": 3, ""Physical_Impacts_Of_Climate_Change"": 1, ""Data_Security"": 1, ""Director_Removal"": 1, ""Access_And_Affordability"": 1}"
Cintas Corp,"{""Management_Of_Legal_And_Regulatory_Framework"": 129, ""Systemic_Risk_Management"": 61, ""Product_Design_And_Lifecycle_Management"": 16, ""Employee_Health_And_Safety"": 25, ""Supply_Chain_Management"": 3, ""Water_And_Wastewater_Management"": 1, ""Waste_And_Hazardous_Materials_Management"": 4, ""Customer_Privacy"": 1, ""Employee_Engagement_Inclusion_And_Diversity"": 5, ""Human_Rights_And_Community_Relations"": 2, ""Product_Quality_And_Safety"": 1, ""Labor_Practices"": 13, ""Competitive_Behavior"": 16, ""Business_Model_Resilience"": 6, ""Data_Security"": 3, ""Critical_Incident_Risk_Management"": 1, ""Business_Ethics"": 14, ""Physical_Impacts_Of_Climate_Change"": 2, ""GHG_Emissions"": 2, ""Access_And_Affordability"": 1, ""Energy_Management"": 2, ""Director_Removal"": 3}"
"Cisco Systems, Inc.","{""Data_Security"": 31, ""Business_Model_Resilience"": 36, ""Systemic_Risk_Management"": 96, ""Product_Design_And_Lifecycle_Management"": 75, ""Human_Rights_And_Community_Relations"": 4, ""GHG_Emissions"": 5, ""Employee_Engagement_Inclusion_And_Diversity"": 15, ""Physical_Impacts_Of_Climate_Change"": 3, ""Director_Removal"": 9, ""Labor_Practices"": 8, ""Business_Ethics"": 19, ""Supply_Chain_Management"": 20, ""Management_Of_Legal_And_Regulatory_Framework"": 120, ""Competitive_Behavior"": 67, ""Employee_Health_And_Safety"": 2, ""Product_Quality_And_Safety"": 1, ""Customer_Privacy"": 4, ""Energy_Management"": 2, ""Selling_Practices_And_Product_Labeling"": 1, ""Ecological_Impacts"": 1}"
Northern Trust Corp,"{""Business_Model_Resilience"": 7, ""Systemic_Risk_Management"": 9, ""Management_Of_Legal_And_Regulatory_Framework"": 5, ""Critical_Incident_Risk_Management"": 2, ""Employee_Engagement_Inclusion_And_Diversity"": 6, ""Business_Ethics"": 1, ""Access_And_Affordability"": 4}"
Cme Group Inc.,"{""Management_Of_Legal_And_Regulatory_Framework"": 173, ""Business_Ethics"": 20, ""Systemic_Risk_Management"": 100, ""Competitive_Behavior"": 71, ""Business_Model_Resilience"": 19, ""Product_Design_And_Lifecycle_Management"": 12, ""Critical_Incident_Risk_Management"": 1, ""Employee_Engagement_Inclusion_And_Diversity"": 5, ""Director_Removal"": 10, ""Data_Security"": 8, ""Labor_Practices"": 7, ""Ecological_Impacts"": 1, ""Customer_Privacy"": 1}"
Cms Energy Corporation,"{""Management_Of_Legal_And_Regulatory_Framework"": 228, ""Employee_Engagement_Inclusion_And_Diversity"": 11, ""GHG_Emissions"": 21, ""Systemic_Risk_Management"": 66, ""Business_Ethics"": 13, ""Energy_Management"": 79, ""Employee_Health_And_Safety"": 6, ""Air_Quality"": 12, ""Waste_And_Hazardous_Materials_Management"": 14, ""Physical_Impacts_Of_Climate_Change"": 4, ""Critical_Incident_Risk_Management"": 3, ""Business_Model_Resilience"": 4, ""Competitive_Behavior"": 25, ""Labor_Practices"": 11, ""Director_Removal"": 10, ""Data_Security"": 5, ""Human_Rights_And_Community_Relations"": 1, ""Supply_Chain_Management"": 1, ""Water_And_Wastewater_Management"": 2, ""Ecological_Impacts"": 2, ""Product_Quality_And_Safety"": 1}"
"Consolidated Edison, Inc.","{""Business_Model_Resilience"": 10, ""Supply_Chain_Management"": 13, ""Competitive_Behavior"": 36, ""Employee_Engagement_Inclusion_And_Diversity"": 8, ""Product_Design_And_Lifecycle_Management"": 33, ""Human_Rights_And_Community_Relations"": 3, ""Employee_Health_And_Safety"": 4, ""Access_And_Affordability"": 1, ""Customer_Welfare"": 24, ""Waste_And_Hazardous_Materials_Management"": 3, ""Energy_Management"": 2, ""Customer_Privacy"": 1, ""Management_Of_Legal_And_Regulatory_Framework"": 120, ""Business_Ethics"": 20, ""Systemic_Risk_Management"": 60, ""Director_Removal"": 10, ""Selling_Practices_And_Product_Labeling"": 18, ""Product_Quality_And_Safety"": 2, ""Labor_Practices"": 22, ""Air_Quality"": 1, ""Data_Security"": 5, ""Critical_Incident_Risk_Management"": 1, ""Physical_Impacts_Of_Climate_Change"": 2}"
Cognizant Technology Solutions,"{""Employee_Engagement_Inclusion_And_Diversity"": 28, ""Business_Model_Resilience"": 52, ""Physical_Impacts_Of_Climate_Change"": 9, ""Human_Rights_And_Community_Relations"": 1, ""Data_Security"": 9, ""Access_And_Affordability"": 2, ""Systemic_Risk_Management"": 72, ""Energy_Management"": 1, ""Product_Design_And_Lifecycle_Management"": 7, ""Customer_Welfare"": 3, ""Management_Of_Legal_And_Regulatory_Framework"": 142, ""Business_Ethics"": 21, ""Competitive_Behavior"": 31, ""Supply_Chain_Management"": 1, ""Customer_Privacy"": 3, ""Labor_Practices"": 17, ""Employee_Health_And_Safety"": 3, ""GHG_Emissions"": 2, ""Director_Removal"": 4, ""Critical_Incident_Risk_Management"": 1, ""Ecological_Impacts"": 1}"
Comerica Incorporated,"{""Business_Model_Resilience"": 18, ""Director_Removal"": 7, ""Employee_Engagement_Inclusion_And_Diversity"": 11, ""Product_Design_And_Lifecycle_Management"": 4, ""Human_Rights_And_Community_Relations"": 1, ""Access_And_Affordability"": 1, ""Physical_Impacts_Of_Climate_Change"": 5, ""Selling_Practices_And_Product_Labeling"": 1, ""Systemic_Risk_Management"": 238, ""Management_Of_Legal_And_Regulatory_Framework"": 251, ""Customer_Privacy"": 8, ""Business_Ethics"": 19, ""Competitive_Behavior"": 32, ""Data_Security"": 11, ""Labor_Practices"": 12, ""Critical_Incident_Risk_Management"": 1, ""Supply_Chain_Management"": 2, ""Ecological_Impacts"": 1, ""Energy_Management"": 3, ""Employee_Health_And_Safety"": 2}"
"Conagra Brands, Inc.","{""Product_Design_And_Lifecycle_Management"": 19, ""Customer_Welfare"": 23, ""Waste_And_Hazardous_Materials_Management"": 2, ""Management_Of_Legal_And_Regulatory_Framework"": 156, ""Systemic_Risk_Management"": 82, ""Selling_Practices_And_Product_Labeling"": 5, ""Competitive_Behavior"": 45, ""Product_Quality_And_Safety"": 6, ""Business_Model_Resilience"": 14, ""Labor_Practices"": 9, ""Employee_Health_And_Safety"": 5, ""Employee_Engagement_Inclusion_And_Diversity"": 6, ""Director_Removal"": 6, ""Supply_Chain_Management"": 12, ""Business_Ethics"": 12, ""Physical_Impacts_Of_Climate_Change"": 5, ""Data_Security"": 7, ""Air_Quality"": 1, ""Ecological_Impacts"": 2, ""Energy_Management"": 1}"
Conocophillips,"{""GHG_Emissions"": 69, ""Supply_Chain_Management"": 7, ""Employee_Health_And_Safety"": 5, ""Management_Of_Legal_And_Regulatory_Framework"": 203, ""Competitive_Behavior"": 54, ""Business_Model_Resilience"": 43, ""Water_And_Wastewater_Management"": 2, ""Ecological_Impacts"": 18, ""Critical_Incident_Risk_Management"": 2, ""Employee_Engagement_Inclusion_And_Diversity"": 15, ""Labor_Practices"": 10, ""Physical_Impacts_Of_Climate_Change"": 17, ""Systemic_Risk_Management"": 115, ""Air_Quality"": 4, ""Waste_And_Hazardous_Materials_Management"": 5, ""Business_Ethics"": 14, ""Data_Security"": 5, ""Director_Removal"": 2, ""Product_Design_And_Lifecycle_Management"": 3, ""Energy_Management"": 2, ""Access_And_Affordability"": 1}"
"Constellation Brands, Inc.","{""Supply_Chain_Management"": 13, ""Customer_Welfare"": 24, ""Business_Model_Resilience"": 39, ""Product_Design_And_Lifecycle_Management"": 39, ""Competitive_Behavior"": 45, ""Employee_Engagement_Inclusion_And_Diversity"": 13, ""Management_Of_Legal_And_Regulatory_Framework"": 135, ""Customer_Privacy"": 2, ""Systemic_Risk_Management"": 130, ""Business_Ethics"": 20, ""GHG_Emissions"": 3, ""Energy_Management"": 2, ""Selling_Practices_And_Product_Labeling"": 8, ""Water_And_Wastewater_Management"": 4, ""Human_Rights_And_Community_Relations"": 1, ""Labor_Practices"": 7, ""Employee_Health_And_Safety"": 5, ""Director_Removal"": 12, ""Access_And_Affordability"": 1, ""Data_Security"": 3, ""Physical_Impacts_Of_Climate_Change"": 2, ""Product_Quality_And_Safety"": 3}"
Constellation Energy Corporation,"{""Management_Of_Legal_And_Regulatory_Framework"": 328, ""Employee_Health_And_Safety"": 8, ""Systemic_Risk_Management"": 173, ""Energy_Management"": 67, ""Business_Ethics"": 24, ""Air_Quality"": 5, ""GHG_Emissions"": 22, ""Waste_And_Hazardous_Materials_Management"": 15, ""Business_Model_Resilience"": 18, ""Physical_Impacts_Of_Climate_Change"": 11, ""Competitive_Behavior"": 68, ""Product_Design_And_Lifecycle_Management"": 2, ""Supply_Chain_Management"": 8, ""Critical_Incident_Risk_Management"": 7, ""Data_Security"": 8, ""Employee_Engagement_Inclusion_And_Diversity"": 4, ""Access_And_Affordability"": 3, ""Labor_Practices"": 8, ""Ecological_Impacts"": 4, ""Water_And_Wastewater_Management"": 5, ""Director_Removal"": 5}"
Copart Inc,"{""Management_Of_Legal_And_Regulatory_Framework"": 164, ""Director_Removal"": 7, ""Competitive_Behavior"": 72, ""Business_Ethics"": 14, ""Systemic_Risk_Management"": 54, ""Air_Quality"": 2, ""Product_Design_And_Lifecycle_Management"": 13, ""Critical_Incident_Risk_Management"": 5, ""Business_Model_Resilience"": 17, ""Employee_Health_And_Safety"": 7, ""Supply_Chain_Management"": 9, ""Employee_Engagement_Inclusion_And_Diversity"": 4, ""Labor_Practices"": 6, ""Waste_And_Hazardous_Materials_Management"": 2, ""Physical_Impacts_Of_Climate_Change"": 5, ""Data_Security"": 10, ""Energy_Management"": 7, ""Customer_Privacy"": 1, ""Customer_Welfare"": 1}"
Corning Incorporated,"{""Management_Of_Legal_And_Regulatory_Framework"": 183, ""Systemic_Risk_Management"": 102, ""Product_Design_And_Lifecycle_Management"": 44, ""Energy_Management"": 3, ""Competitive_Behavior"": 25, ""Air_Quality"": 1, ""Ecological_Impacts"": 1, ""Employee_Engagement_Inclusion_And_Diversity"": 18, ""Employee_Health_And_Safety"": 10, ""Business_Model_Resilience"": 19, ""Supply_Chain_Management"": 10, ""Data_Security"": 4, ""Physical_Impacts_Of_Climate_Change"": 1, ""Customer_Privacy"": 4, ""Waste_And_Hazardous_Materials_Management"": 3, ""Business_Ethics"": 13, ""Labor_Practices"": 64, ""Director_Removal"": 18, ""Access_And_Affordability"": 1, ""Customer_Welfare"": 2, ""Critical_Incident_Risk_Management"": 2}"
"Corpay, Inc.","{""Management_Of_Legal_And_Regulatory_Framework"": 300, ""Business_Model_Resilience"": 21, ""Business_Ethics"": 54, ""Systemic_Risk_Management"": 89, ""Data_Security"": 26, ""Competitive_Behavior"": 82, ""Energy_Management"": 3, ""Customer_Privacy"": 10, ""Product_Design_And_Lifecycle_Management"": 13, ""Access_And_Affordability"": 1, ""Employee_Engagement_Inclusion_And_Diversity"": 10, ""Employee_Health_And_Safety"": 3, ""Human_Rights_And_Community_Relations"": 1, ""Director_Removal"": 46, ""Physical_Impacts_Of_Climate_Change"": 3, ""Supply_Chain_Management"": 1, ""GHG_Emissions"": 2, ""Labor_Practices"": 6, ""Ecological_Impacts"": 1}"
"Corteva, Inc.","{""Business_Model_Resilience"": 17, ""Product_Design_And_Lifecycle_Management"": 35, ""Management_Of_Legal_And_Regulatory_Framework"": 266, ""Systemic_Risk_Management"": 131, ""Customer_Welfare"": 19, ""Employee_Engagement_Inclusion_And_Diversity"": 8, ""Product_Quality_And_Safety"": 10, ""Ecological_Impacts"": 14, ""Business_Ethics"": 27, ""Physical_Impacts_Of_Climate_Change"": 8, ""Customer_Privacy"": 1, ""Supply_Chain_Management"": 10, ""Competitive_Behavior"": 56, ""Labor_Practices"": 17, ""Employee_Health_And_Safety"": 9, ""Data_Security"": 5, ""Selling_Practices_And_Product_Labeling"": 4, ""Waste_And_Hazardous_Materials_Management"": 6, ""Critical_Incident_Risk_Management"": 3, ""GHG_Emissions"": 2, ""Director_Removal"": 5, ""Water_And_Wastewater_Management"": 5, ""Air_Quality"": 1, ""Access_And_Affordability"": 1}"
Costar Group Inc,"{""Management_Of_Legal_And_Regulatory_Framework"": 163, ""Data_Security"": 23, ""Competitive_Behavior"": 65, ""Business_Model_Resilience"": 35, ""Systemic_Risk_Management"": 79, ""Physical_Impacts_Of_Climate_Change"": 3, ""Customer_Privacy"": 15, ""Energy_Management"": 13, ""Customer_Welfare"": 5, ""Air_Quality"": 1, ""Product_Design_And_Lifecycle_Management"": 6, ""Labor_Practices"": 7, ""Employee_Engagement_Inclusion_And_Diversity"": 5, ""Business_Ethics"": 15, ""Director_Removal"": 5}"
Costco Wholesale Corp,"{""Product_Design_And_Lifecycle_Management"": 22, ""Management_Of_Legal_And_Regulatory_Framework"": 80, ""Business_Ethics"": 6, ""Systemic_Risk_Management"": 40, ""Labor_Practices"": 22, ""Customer_Welfare"": 7, ""Director_Removal"": 7, ""Employee_Engagement_Inclusion_And_Diversity"": 5, ""Competitive_Behavior"": 23, ""Business_Model_Resilience"": 11, ""Data_Security"": 6, ""Product_Quality_And_Safety"": 1, ""Supply_Chain_Management"": 2, ""Critical_Incident_Risk_Management"": 1, ""Physical_Impacts_Of_Climate_Change"": 3, ""Waste_And_Hazardous_Materials_Management"": 1, ""Employee_Health_And_Safety"": 2, ""Energy_Management"": 2}"
Coterra Energy Inc.,"{""Systemic_Risk_Management"": 8, ""Management_Of_Legal_And_Regulatory_Framework"": 2, ""Business_Model_Resilience"": 4, ""Physical_Impacts_Of_Climate_Change"": 1, ""Product_Quality_And_Safety"": 1, ""Ecological_Impacts"": 1, ""GHG_Emissions"": 2, ""Water_And_Wastewater_Management"": 1, ""Human_Rights_And_Community_Relations"": 1, ""Employee_Health_And_Safety"": 1}"
